episode,score,epsilon,budget,uncertainty
0,-12.0,0.9788800000000961,48875,0.10693552339561649
1,-16.0,0.9635100000001661,48094,0.10066297429776766
2,-11.0,0.943970000000255,46757,0.10390070442228502
3,-7.0,0.9184400000003712,45098,0.10308926221591745
4,-17.0,0.9043600000004353,44676,0.09690346586020579
5,-16.0,0.8887600000005063,44296,0.09599269357963633
6,-18.0,0.8774100000005579,44135,0.09334835890631318
7,-21.0,0.8671400000006046,43989,0.09312430708991054
8,-20.0,0.8576500000006478,43836,0.09406434575407849
9,-19.0,0.8458900000007014,43615,0.09367148600974862
10,-21.0,0.8371600000007411,43446,0.09406887315307559
11,-21.0,0.8276400000007844,43356,0.09129017875568957
12,-21.0,0.8184400000008263,43269,0.09042910118789776
13,-19.0,0.8080300000008737,43180,0.08907806648229545
14,-21.0,0.7990200000009147,43102,0.08967150488535519
15,-21.0,0.7909000000009516,43022,0.08723470799881837
16,-21.0,0.7827000000009889,42950,0.08288964940825613
17,-21.0,0.7738600000010292,42892,0.0794049693962635
18,-19.0,0.7631700000010778,42844,0.076737639772156
19,-21.0,0.7555300000011126,42813,0.07407634065081779
20,-20.0,0.7457500000011571,42792,0.07279955551546288
21,-21.0,0.7381100000011919,42772,0.07182006926046616
22,-19.0,0.7266000000012443,42765,0.07268000448803918
23,-20.0,0.7158000000012934,42759,0.07491219974364395
24,-21.0,0.706870000001334,42755,0.07054342896430382
25,-20.0,0.6970300000013788,42754,0.06665411913706883
26,-18.0,0.6859900000014291,42753,0.06582823158174321
27,-20.0,0.6768000000014709,42753,0.06320266225360034
28,-18.0,0.6647900000015255,42753,0.060550474964212515
29,-20.0,0.656350000001564,42753,0.06303552392058039
30,-18.0,0.643810000001621,42753,0.06558977752817019
31,-20.0,0.6353900000016593,42753,0.06493131412002932
32,-21.0,0.6271900000016967,42753,0.06321702516387875
33,-21.0,0.6184600000017364,42753,0.06192934595022824
34,-21.0,0.610210000001774,42753,0.06246723913785183
35,-18.0,0.5990400000018248,42753,0.06337142411549387
36,-20.0,0.5888400000018712,42753,0.06276059522859606
37,-21.0,0.5809200000019072,42753,0.061681078295364525
38,-21.0,0.572400000001946,42753,0.06433736410061938
39,-21.0,0.5636000000019861,42752,0.0657820494972508
40,-19.0,0.5533500000020327,42750,0.06650933679284118
41,-21.0,0.54515000000207,42749,0.06476090202880341
42,-20.0,0.535260000002115,42743,0.06872347423277561
43,-20.0,0.5253200000021603,42741,0.06861377981541981
44,-18.0,0.5130500000022161,42726,0.07261911962111499
45,-21.0,0.5032300000022608,42718,0.07756536497209077
46,-19.0,0.49104000000226655,42717,0.07246327494027383
47,-21.0,0.482500000002258,42717,0.06779045500820917
48,-18.0,0.47103000000224654,42717,0.06827081306963353
49,-18.0,0.4550800000022306,42715,0.06560959783514092
50,-18.0,0.442480000002218,42715,0.06404313388620578
51,-17.0,0.42876000000220427,42710,0.0669768451178126
52,-20.0,0.4188900000021944,42704,0.07155127169256756
53,-17.0,0.40404000000217954,42689,0.07370266069466819
54,-16.0,0.38575000000216125,42650,0.07347966100717093
55,-19.0,0.3731900000021487,42635,0.07365610222717758
56,-19.0,0.359500000002135,42630,0.06984561755219196
57,-16.0,0.34206000000211756,42611,0.07137992185617395
58,-16.0,0.3243100000020998,42592,0.06927516225777881
59,-18.0,0.30954000000208504,42585,0.06578599241326992
60,-20.0,0.2943300000020698,42583,0.06137987252087244
61,-21.0,0.279510000002055,42583,0.059501798134096034
62,-19.0,0.2667200000020422,42582,0.06210500411317917
63,-17.0,0.25166000000202715,42579,0.06202855019287205
64,-19.0,0.23548000000201097,42577,0.05369360885371043
65,-20.0,0.21866000000199415,42577,0.049770336852444384
66,-19.0,0.20119000000197668,42577,0.05019717478031681
67,-19.0,0.18243000000195791,42577,0.05309299398473636
68,-21.0,0.16790000000194338,42576,0.0511564690935703
69,-17.0,0.15139000000192687,42576,0.05317093505338511
70,-19.0,0.13249000000190797,42576,0.05270633780263197
71,-19.0,0.1120600000019055,42576,0.05631467082313883
72,-19.0,0.09803000000191094,42572,0.05913928423192371
73,-19.0,0.08241000000191699,42571,0.05573991794322788
74,-19.0,0.06567000000192348,42571,0.05700445507093652
75,-16.0,0.05,42566,0.06253626002442811
76,-17.0,0.05,42560,0.05972591910640154
77,-16.0,0.05,42559,0.057965264682534934
78,-21.0,0.05,42559,0.05492084962546003
79,-20.0,0.05,42558,0.05480512108191512
80,-14.0,0.05,42558,0.05293223470829206
81,-21.0,0.05,42558,0.052159806961483667
82,-21.0,0.05,42558,0.05079323108947509
83,-18.0,0.05,42558,0.04749246437068015
84,-18.0,0.05,42558,0.05011841092950027
85,-16.0,0.05,42558,0.04914627276832544
86,-11.0,0.05,42558,0.047974599449869273
87,-10.0,0.05,42558,0.04655930270014753
88,-8.0,0.05,42558,0.04221829511537501
89,-5.0,0.05,42558,0.04204479298684239
90,-11.0,0.05,42557,0.04252395220560503
91,-10.0,0.05,42557,0.03976506843991173
92,-7.0,0.05,42557,0.03694605523251205
93,-4.0,0.05,42557,0.03573927246232389
94,-10.0,0.05,42557,0.03465946796123653
95,-7.0,0.05,42557,0.03460371915256671
96,-8.0,0.05,42557,0.036915851823598855
97,-3.0,0.05,42557,0.03681609400387286
98,-7.0,0.05,42557,0.03449392288982361
99,-7.0,0.05,42557,0.032325841502032056
100,-5.0,0.05,42557,0.03263901248346692
101,-8.0,0.05,42557,0.027409060910759123
102,8.0,0.05,42557,0.026619942305060162
103,-6.0,0.05,42557,0.023953197713495442
104,8.0,0.05,42557,0.02415823901353669
105,-8.0,0.05,42557,0.022739180880370052
106,-6.0,0.05,42557,0.022900966958849564
107,-3.0,0.05,42557,0.02445118698996786
108,1.0,0.05,42557,0.023913775333120585
109,7.0,0.05,42557,0.02366018235258961
110,-5.0,0.05,42557,0.025381216723532822
111,-1.0,0.05,42557,0.027397075978033984
112,-4.0,0.05,42557,0.02663874246511843
113,-1.0,0.05,42557,0.024913612831788442
114,-1.0,0.05,42557,0.02456804415726659
115,-1.0,0.05,42557,0.024105641754828135
116,1.0,0.05,42557,0.023040673126370866
117,-9.0,0.05,42557,0.022224831441159113
118,-5.0,0.05,42557,0.01987526245779635
119,-2.0,0.05,42557,0.018788833968201184
120,5.0,0.05,42557,0.017249937805123322
121,1.0,0.05,42557,0.015238831556806626
122,-1.0,0.05,42557,0.013445473202337533
123,5.0,0.05,42557,0.013138528676686941
124,6.0,0.05,42557,0.012670562553420871
125,-3.0,0.05,42557,0.011128277132763332
126,3.0,0.05,42557,0.01131803107861714
127,-4.0,0.05,42557,0.010961174005682188
128,-2.0,0.05,42557,0.011098263747991482
129,5.0,0.05,42557,0.010809850571293985
130,9.0,0.05,42557,0.009887048504705292
131,9.0,0.05,42557,0.009284152141318587
132,11.0,0.05,42557,0.008939220441607559
133,9.0,0.05,42557,0.008794976564776525
134,5.0,0.05,42557,0.008179080228930633
135,8.0,0.05,42557,0.007583946480686571
136,7.0,0.05,42557,0.00747092048393169
137,5.0,0.05,42557,0.007684208428999147
138,15.0,0.05,42557,0.008419524842930402
139,6.0,0.05,42557,0.008321622172990742
140,-3.0,0.05,42557,0.00907826118574198
141,6.0,0.05,42557,0.008683171260468513
142,3.0,0.05,42557,0.0088697931996121
143,9.0,0.05,42557,0.009376898295308194
144,3.0,0.05,42557,0.010693586175986446
145,8.0,0.05,42557,0.010083514434688934
146,6.0,0.05,42557,0.009337155806679093
147,10.0,0.05,42557,0.01043555759031434
148,7.0,0.05,42557,0.01134327584050115
149,9.0,0.05,42557,0.012367074620179951
150,15.0,0.05,42557,0.01189487603388781
151,2.0,0.05,42557,0.010745786638419812
152,8.0,0.05,42557,0.009795426382617507
153,11.0,0.05,42557,0.008765762865430038
154,11.0,0.05,42557,0.008942271876978571
155,12.0,0.05,42557,0.009348154263923679
156,12.0,0.05,42557,0.009713240428079799
157,12.0,0.05,42557,0.009724019654009871
158,12.0,0.05,42557,0.009025855545932552
159,15.0,0.05,42557,0.009826409467302356
160,8.0,0.05,42557,0.009665590036546353
161,8.0,0.05,42557,0.009346174527730624
162,16.0,0.05,42557,0.008471111172731433
163,11.0,0.05,42557,0.00862747381254315
164,14.0,0.05,42557,0.00855964489593436
165,10.0,0.05,42557,0.008389415283923445
166,12.0,0.05,42557,0.008655034653303806
167,11.0,0.05,42557,0.008374725083235827
168,11.0,0.05,42557,0.007820323138082074
169,12.0,0.05,42557,0.00872032037263775
170,15.0,0.05,42557,0.007997622632811887
171,10.0,0.05,42557,0.0073136212971990164
172,12.0,0.05,42557,0.007778382644852211
173,15.0,0.05,42557,0.008395387784760818
174,12.0,0.05,42557,0.009509801982869034
175,12.0,0.05,42557,0.008635996409706774
176,15.0,0.05,42557,0.008018774382387213
177,13.0,0.05,42556,0.007781947895181912
178,8.0,0.05,42556,0.008173227092785696
179,17.0,0.05,42556,0.00867631820880174
180,13.0,0.05,42556,0.008769405660497415
181,14.0,0.05,42556,0.009188511288124215
182,8.0,0.05,42556,0.009676536327016034
183,9.0,0.05,42556,0.010241568559540842
184,13.0,0.05,42556,0.011237541618862366
