episode,score,epsilon,budget,uncertainty
0,15.0,0.9794700000000934,48089,0.12719226749560253
1,-10.0,0.9602000000001811,46746,0.10958826437894087
2,4.0,0.9339400000003006,44426,0.11490050203366217
3,16.0,0.9122800000003992,42328,0.12484184759544313
4,19.0,0.8930400000004868,40438,0.1282204266544625
5,-9.0,0.8724100000005807,39229,0.10474181868645155
6,13.0,0.8495600000006847,37301,0.11725493012163259
7,21.0,0.833220000000759,35698,0.12627376041020583
8,21.0,0.8168800000008334,34082,0.12649921224779714
9,19.0,0.7983200000009179,32316,0.11955629874839736
10,15.0,0.7783300000010088,30506,0.11319344483684933
11,2.0,0.7505100000011354,28027,0.11150239853390595
12,20.0,0.733690000001212,26457,0.11336336286647708
13,16.0,0.7143400000013,24747,0.11194737982919357
14,13.0,0.6926200000013989,22835,0.11125909923670152
15,-2.0,0.6649300000015249,20695,0.10819602504765441
16,-18.0,0.6524300000015818,20006,0.10198596194982529
17,-20.0,0.6424000000016274,19387,0.10405657854180037
18,-17.0,0.6281600000016923,18615,0.10156069252263294
19,-19.0,0.618540000001736,18248,0.09691469992458697
20,-19.0,0.6079300000017843,17853,0.09666514679663143
21,-19.0,0.5976300000018312,17556,0.09454637747077109
22,-16.0,0.5843300000018917,16986,0.09817900617599935
23,-6.0,0.5597500000020036,15506,0.10421673279858829
24,-3.0,0.5347000000021176,13845,0.10569717370851073
25,8.0,0.5112700000022242,12047,0.1107779449178681
26,-3.0,0.483480000002259,10002,0.1093460641876426
27,18.0,0.4652900000022408,8431,0.11618856286989457
28,20.0,0.44833000000222384,6962,0.11681633722915682
29,15.0,0.4269100000022024,5371,0.1106950382986406
30,21.0,0.4098100000021853,4161,0.11040855963763438
31,21.0,0.393470000002169,3124,0.10895589281060486
32,20.0,0.37654000000215204,1798,0.11358998673629704
33,21.0,0.3602000000021357,363,0.12039303886299471
34,-16.0,0.34866000000212416,0,0.12893091193182424
35,-21.0,0.3398200000021153,0,0.13251708528001654
36,-20.0,0.3311200000021066,0,0.11715630135316958
