episode,score,epsilon,budget,uncertainty
0,-21.0,0.9920700000000361,50000,0.061871596236794606
1,-21.0,0.9835500000000749,50000,0.06218553702631187
2,-21.0,0.9750100000001137,50000,0.06340672874461153
3,-18.0,0.9648600000001599,50000,0.06992580082469387
4,-21.0,0.9564100000001984,50000,0.07682196926435775
5,-21.0,0.9469600000002414,49996,0.07767840765771411
6,-19.0,0.9361400000002906,49993,0.07583877978615752
7,-20.0,0.9274300000003303,49991,0.07440018879268939
8,-21.0,0.9185700000003706,49985,0.07421603781627344
9,-20.0,0.9095300000004117,49982,0.07574460936083863
10,-21.0,0.9010000000004506,49981,0.0753025702765301
11,-21.0,0.8919800000004916,49980,0.07386784848577432
12,-21.0,0.8843400000005264,49980,0.06943283679636673
13,-21.0,0.8751800000005681,49980,0.06874719991726906
14,-19.0,0.86376000000062,49980,0.07118662625825238
15,-21.0,0.8547200000006612,49980,0.06633618808623436
16,-21.0,0.8454300000007035,49980,0.06546165874334146
17,-21.0,0.8369100000007422,49980,0.06458714746043716
18,-19.0,0.8277000000007841,49980,0.06463486147512572
19,-20.0,0.8175100000008305,49980,0.062373533296573386
20,-19.0,0.8075400000008759,49980,0.05854269479183759
21,-21.0,0.7993400000009132,49980,0.05513716988356375
22,-21.0,0.7911300000009506,49980,0.052513129514586476
23,-20.0,0.780940000000997,49980,0.054512412178533934
24,-21.0,0.7706900000010436,49980,0.051415078530951244
25,-20.0,0.7608900000010882,49980,0.0489451211934187
26,-21.0,0.7526400000011257,49980,0.04872861356220462
27,-20.0,0.7424100000011723,49980,0.04820047771214041
28,-20.0,0.7319600000012199,49980,0.04701934038665877
29,-21.0,0.7230500000012604,49980,0.04464080040661909
30,-21.0,0.7148500000012977,49980,0.04468822175318875
31,-21.0,0.7040600000013468,49980,0.043907316289393296
32,-20.0,0.6929300000013975,49980,0.042320967965691556
33,-18.0,0.6807500000014529,49980,0.04204700755074694
34,-21.0,0.6710100000014972,49980,0.040601082251347925
35,-19.0,0.658540000001554,49980,0.03813143454211276
36,-21.0,0.6476900000016034,49980,0.03278339122452082
37,-20.0,0.6367300000016533,49980,0.03149697556751814
38,-20.0,0.6266200000016993,49980,0.032177441786609876
39,-21.0,0.6172000000017421,49980,0.0322613337565601
40,-21.0,0.6073700000017869,49980,0.033280720164959574
41,-21.0,0.5979300000018298,49980,0.03237625515143687
42,-20.0,0.5881000000018746,49980,0.032078352173182084
43,-21.0,0.5795800000019133,49980,0.03329331134369448
44,-21.0,0.5699400000019572,49980,0.03430536001171005
45,-21.0,0.5620200000019933,49980,0.03261584870169184
46,-20.0,0.550660000002045,49980,0.030665750298026005
47,-19.0,0.5371800000021063,49980,0.0289559320768463
48,-18.0,0.5244900000021641,49980,0.028559922454423667
49,-21.0,0.5139800000022119,49980,0.028664125636889894
50,-17.0,0.49845000000227396,49980,0.028343108559119666
51,-17.0,0.48314000000225865,49980,0.027807679543774125
52,-20.0,0.46673000000224224,49980,0.02823330104067419
53,-18.0,0.44992000000222543,49980,0.03009195852615294
54,-15.0,0.4316800000022072,49980,0.03010922611595066
55,-19.0,0.41606000000219157,49980,0.030081098031794602
56,-17.0,0.4011100000021766,49980,0.029878353096142157
57,-19.0,0.3854000000021609,49980,0.029816853959957538
58,-17.0,0.36726000000214276,49980,0.0270961950247637
59,-18.0,0.3517800000021273,49980,0.027392785567763197
60,-18.0,0.33267000000210817,49980,0.024846072941601825
61,-15.0,0.3130100000020885,49980,0.024391944437245825
62,-17.0,0.2917800000020673,49980,0.023424216920643295
63,-18.0,0.2733900000020489,49980,0.023782459845160735
64,-15.0,0.25075000000202624,49980,0.023186935434027826
65,-15.0,0.2266100000020021,49980,0.02108252850437991
66,-12.0,0.19915000000197464,49980,0.02306725765520877
67,-15.0,0.173510000001949,49980,0.022416426937594627
68,-16.0,0.1507100000019262,49980,0.026186142853328962
69,-17.0,0.12487000000190053,49980,0.026577889178439847
70,-15.0,0.09956000000191034,49980,0.026351292130408727
71,-17.0,0.08149000000191735,49980,0.026705389988763793
72,-15.0,0.06097000000192424,49980,0.02476713590086329
73,-12.0,0.05,49980,0.02561335074203384
74,-14.0,0.05,49980,0.024263364341742207
75,-18.0,0.05,49980,0.024791631004847388
76,-12.0,0.05,49980,0.023504237185145525
77,-15.0,0.05,49980,0.023520102829966937
78,-17.0,0.05,49980,0.023153007146235628
79,-17.0,0.05,49980,0.025815636717571856
80,-18.0,0.05,49980,0.02640040139846474
81,-15.0,0.05,49980,0.026263833519680282
82,-20.0,0.05,49980,0.02723888661016264
83,-14.0,0.05,49980,0.02777780731311074
84,-17.0,0.05,49980,0.027150009845061624
85,-18.0,0.05,49979,0.03000407917689325
86,-15.0,0.05,49979,0.031450852067126084
87,-20.0,0.05,49979,0.03173970215619531
88,-17.0,0.05,49979,0.0309097418979742
89,-14.0,0.05,49979,0.029889776134611593
90,-18.0,0.05,49979,0.02868152556494534
91,-17.0,0.05,49979,0.0268585341009476
92,-15.0,0.05,49979,0.0254091502797443
93,-17.0,0.05,49979,0.02341401052077374
94,-17.0,0.05,49979,0.021886889887440624
95,-14.0,0.05,49979,0.019344020670277646
96,-16.0,0.05,49979,0.018598812670673346
97,-10.0,0.05,49979,0.01874447168303412
98,-10.0,0.05,49979,0.01769172886497603
99,-16.0,0.05,49979,0.016907676720022406
100,-16.0,0.05,49979,0.015877319705022805
101,-19.0,0.05,49979,0.01432227121278127
102,-7.0,0.05,49979,0.014709815459910465
103,-13.0,0.05,49979,0.013722068665569603
104,-14.0,0.05,49979,0.013951131916034849
105,-11.0,0.05,49979,0.014659858512594987
106,-10.0,0.05,49979,0.01510657429304122
107,-9.0,0.05,49979,0.01599941182016149
108,-8.0,0.05,49979,0.01601096930846244
109,-13.0,0.05,49979,0.0150253948608744
110,-11.0,0.05,49979,0.014939905567153605
111,-10.0,0.05,49979,0.013630974751052469
112,-6.0,0.05,49978,0.015096050692714252
113,-6.0,0.05,49978,0.01384866838604468
114,-1.0,0.05,49978,0.011906385730844335
115,-4.0,0.05,49978,0.012777104703420987
116,-6.0,0.05,49978,0.011830289198716001
117,-10.0,0.05,49978,0.012464835576749215
118,1.0,0.05,49978,0.012819586780675182
119,-8.0,0.05,49978,0.014107082130200706
120,4.0,0.05,49978,0.01423708288905075
121,13.0,0.05,49978,0.013860370235881585
122,14.0,0.05,49978,0.012918308137646925
123,14.0,0.05,49978,0.015128741870267817
124,13.0,0.05,49978,0.013407315375234435
125,17.0,0.05,49978,0.012429779820066137
126,8.0,0.05,49978,0.012969249688467244
127,9.0,0.05,49978,0.012193769572807111
128,14.0,0.05,49978,0.01105422855323117
129,8.0,0.05,49978,0.010679489844425473
130,16.0,0.05,49978,0.010159039582575807
131,6.0,0.05,49978,0.009458225166227534
132,7.0,0.05,49978,0.008836293527601138
133,-4.0,0.05,49976,0.011438702566832193
134,5.0,0.05,49976,0.007987913633560266
135,16.0,0.05,49976,0.007464619366025242
136,8.0,0.05,49976,0.0075628356993289875
137,9.0,0.05,49976,0.007834061595414062
138,14.0,0.05,49976,0.007543607808294328
139,12.0,0.05,49976,0.007417347762940197
140,15.0,0.05,49976,0.007651772952897429
141,14.0,0.05,49976,0.007427532040087777
