episode,score,epsilon,budget,uncertainty,epistemic,aleatoric

0,-21.0,0.9917700000000375,49970,0.09349815790323479,0.0934949165921161,3.24131111867731e-06

1,-21.0,0.9841300000000722,49970,0.09219504158566176,0.09219255667004286,2.4849156189010387e-06

2,-18.0,0.9738100000001192,49970,0.09766325086743154,0.09757251309794049,9.07377694910403e-05

3,-19.0,0.9626100000001702,49970,0.10277735593948754,0.09814695018742765,0.004630405752059882

4,-21.0,0.9540900000002089,49970,0.10615799307253812,0.09775823861920217,0.008399754453335939

5,-21.0,0.9464500000002437,49970,0.11362700519750518,0.10092020479484379,0.012706800402661405

6,-21.0,0.9374200000002848,49969,0.11690708247860657,0.10130817208806278,0.015598910390543787

7,-21.0,0.9288900000003236,49969,0.11719059841303375,0.09953626784182656,0.017654330571207185

8,-19.0,0.9195600000003661,49966,0.1208698216886614,0.09917463109072892,0.02169519059793247

9,-20.0,0.9099300000004099,49961,0.1274844839458614,0.10126802964312018,0.02621645430274122

10,-20.0,0.9010400000004504,49950,0.12763344385258904,0.09408133867939492,0.03355210517319412

11,-21.0,0.8919800000004916,49946,0.12299051308075673,0.09040197782284246,0.03258853525791428

12,-20.0,0.8824000000005352,49930,0.12471518850650071,0.08492031310430274,0.039794875402197956

13,-21.0,0.8721700000005818,49919,0.12352851807310056,0.08596718092817715,0.03756133714492341

14,-21.0,0.8633700000006218,49904,0.1292437938888642,0.0853613787627017,0.0438824151261625

15,-20.0,0.8537100000006658,49893,0.12971016858158707,0.08478547504275852,0.044924693538828546

16,-19.0,0.8435700000007119,49877,0.12564020806370593,0.08331076117118552,0.04232944689252041

17,-20.0,0.8343800000007537,49874,0.11706919061507466,0.07910453413447956,0.03796465648059511

18,-20.0,0.8242900000007997,49872,0.1124132795255203,0.07490993965679284,0.03750333986872746

19,-19.0,0.8137600000008476,49869,0.11175377911930959,0.07301672120690912,0.038737057912400466

20,-21.0,0.8059300000008832,49869,0.10701788937756827,0.07487493475582713,0.03214295462174115

21,-21.0,0.7966300000009255,49867,0.10948671475904043,0.07667821910913272,0.0328084956499077

22,-20.0,0.787750000000966,49866,0.10947452812835255,0.0780220356862153,0.03145249244213725

23,-18.0,0.7764200000010175,49865,0.11370886017717191,0.08057207943311015,0.033136780744061754

24,-21.0,0.7677000000010572,49863,0.11198745942658557,0.08179103885136477,0.030196420575220803

25,-21.0,0.7589000000010973,49862,0.10989424990759951,0.07904299367642538,0.030851256231174125

26,-19.0,0.7488000000011432,49857,0.11280471223295842,0.07777768287918355,0.035027029353774865

27,-20.0,0.7382300000011913,49850,0.11309201603739054,0.07601615977927323,0.03707585625811731

28,-20.0,0.7286000000012351,49846,0.10757691962794359,0.07299212637905762,0.03458479324888596

29,-19.0,0.7159500000012927,49830,0.1171509757082129,0.07382248826766674,0.043328487440546154

30,-18.0,0.7036400000013487,49819,0.11532399644768795,0.0743972165018296,0.040926779945858374

31,-20.0,0.6930800000013968,49815,0.11322293910559507,0.07726473894647577,0.035958200159119304

32,-18.0,0.6809900000014518,49800,0.11438588370352204,0.0740911446456282,0.04029473905789383

33,-18.0,0.6696700000015033,49794,0.10792384645881052,0.06955845893258657,0.038365387526223954

34,-17.0,0.6556100000015673,49766,0.10989737650098022,0.06867983589375426,0.04121754060722596

35,-17.0,0.6379500000016477,49728,0.11844916829769737,0.07278623339105166,0.04566293490664571

36,-18.0,0.6252000000017057,49713,0.11072392266517615,0.06814506465021301,0.04257885801496313

37,-20.0,0.615030000001752,49697,0.10413497636523263,0.06615256060980766,0.037982415755424964

38,-17.0,0.6012700000018146,49663,0.1159177440253569,0.06880890083131055,0.04710884319404634

39,-18.0,0.5862900000018828,49634,0.11264970607240218,0.0667153464901312,0.04593435958227098

40,-17.0,0.5708100000019533,49576,0.12503399327419906,0.0750985961547001,0.049935397119498966

41,-19.0,0.5565600000020181,49505,0.13316021572079575,0.08185409913721838,0.05130611658357737

42,-15.0,0.5391000000020976,49426,0.1315153266632218,0.08027686383511193,0.051238462828109864

43,-20.0,0.5291800000021427,49394,0.11570975596001634,0.07394098853992839,0.041768767420087956

44,-18.0,0.5160900000022023,49362,0.12132879055615278,0.07434274759385492,0.04698604296229785

45,-18.0,0.4991800000022747,49331,0.11603849363811523,0.07156167595054115,0.04447681768757408

46,-18.0,0.4820100000022575,49285,0.1174970484170824,0.07176345262630915,0.045733595790773254

47,-18.0,0.46535000000224086,49212,0.12478984176365174,0.07437123042516777,0.050418611338483965

48,-18.0,0.44884000000222435,49155,0.11363321235660082,0.0689409532302766,0.04469225912632422

49,-19.0,0.43495000000221046,49119,0.11258115113445989,0.06788484648116808,0.044696304653291816

50,-21.0,0.4228700000021984,49101,0.10253361831569507,0.0652924148452203,0.03724120347047478

51,-15.0,0.4042000000021797,49027,0.12054173166633658,0.07586413716581109,0.044677594500525504

52,-15.0,0.3832900000021588,48917,0.12709743620249114,0.08215483379764514,0.044942602404846

53,-19.0,0.3632800000021388,48834,0.1301446150469853,0.08785912452422935,0.042285490522755945

54,-15.0,0.34285000000211835,48735,0.12946147271851374,0.08763420278397017,0.04182726993454357

55,-17.0,0.32405000000209955,48705,0.12569606645457557,0.08858069219289624,0.0371153742616793

56,-14.0,0.29776000000207326,48554,0.1355810133792912,0.09192781704671033,0.04365319633258088

57,-17.0,0.2783900000020539,48480,0.1297436230159646,0.08781716396102261,0.041926459054941974

58,-18.0,0.2598100000020353,48433,0.12040330387685254,0.08075954005587345,0.03964376382097909

59,-16.0,0.2414000000020169,48354,0.11936001037981003,0.0716578776218171,0.04770213275799292

60,-12.0,0.2182200000019937,48272,0.1186574516589215,0.07248993469177198,0.04616751696714951

61,-12.0,0.18863000000196412,48158,0.12340289569615968,0.07870745128785468,0.044695444408304995

62,-10.0,0.16169000000193717,48039,0.12671261606202133,0.08052700021910553,0.0461856158429158

63,-19.0,0.140530000001916,47918,0.13633234543377704,0.08705789667496103,0.049274448758816

64,-9.0,0.10713000000190741,47672,0.13561261007290412,0.08188317736950954,0.05372943270339458

65,-18.0,0.08544000000191582,47530,0.13672406678317728,0.08568222451793633,0.05104184226524094

66,-14.0,0.05942000000192377,47400,0.1312906849570286,0.08376674508199176,0.04752393987503684

67,-8.0,0.05,47311,0.11381726193188789,0.07183433486395883,0.041982927067929054

68,-14.0,0.05,47272,0.1129483050981066,0.07112840310461907,0.041819901993487535

69,-11.0,0.05,47168,0.12088703810227339,0.07428365837591659,0.04660337972635678

70,-14.0,0.05,47086,0.12107076267165033,0.07612675594820635,0.04494400672344398

71,-14.0,0.05,47020,0.11592836803168066,0.07342870596804608,0.042499662063634584

72,-15.0,0.05,46929,0.11921495426099236,0.07487149265022466,0.0443434616107677

