episode,score,epsilon,budget,uncertainty
0,-20.0,0.9904000000000437,,
1,-20.0,0.9810000000000865,,
2,-20.0,0.9707900000001329,,
3,-21.0,0.9622600000001718,,
4,-21.0,0.9544300000002074,,
5,-21.0,0.9434900000002572,,
6,-19.0,0.9335500000003024,,
7,-21.0,0.9253100000003399,,
8,-21.0,0.9153000000003855,,
9,-20.0,0.9059800000004279,,
10,-21.0,0.8974600000004667,,
11,-19.0,0.8852400000005223,,
12,-20.0,0.8736000000005752,,
13,-21.0,0.865080000000614,,
14,-20.0,0.8548300000006607,,
15,-21.0,0.8464300000006989,,
16,-20.0,0.8375400000007394,,
17,-19.0,0.828170000000782,,
18,-21.0,0.8176400000008299,,
19,-19.0,0.8076500000008754,,
20,-20.0,0.7977900000009203,,
21,-20.0,0.7865100000009716,,
22,-19.0,0.77587000000102,,
23,-20.0,0.7652000000010686,,
24,-21.0,0.7561200000011099,,
25,-20.0,0.7465600000011534,,
26,-19.0,0.7371800000011961,,
27,-21.0,0.7287600000012344,,
28,-19.0,0.7175800000012853,,
29,-21.0,0.7087400000013255,,
30,-20.0,0.69896000000137,,
31,-19.0,0.686440000001427,,
32,-18.0,0.6749800000014792,,
33,-20.0,0.6646500000015262,,
34,-17.0,0.6502700000015916,,
35,-20.0,0.6376300000016492,,
36,-20.0,0.6250900000017062,,
37,-20.0,0.6144700000017546,,
38,-18.0,0.6010300000018157,,
39,-19.0,0.5847400000018899,,
40,-19.0,0.5726000000019451,,
41,-17.0,0.5575400000020136,,
42,-19.0,0.5442500000020741,,
43,-17.0,0.5272500000021515,,
44,-15.0,0.5123200000022194,,
45,-17.0,0.4977900000022733,,
46,-18.0,0.4806900000022562,,
47,-18.0,0.4656900000022412,,
48,-17.0,0.44666000000222217,,
49,-18.0,0.43186000000220737,,
50,-17.0,0.41475000000219026,,
51,-16.0,0.3946800000021702,,
52,-18.0,0.376500000002152,,
53,-15.0,0.3558200000021313,,
54,-16.0,0.3350100000021105,,
55,-19.0,0.31857000000209407,,
56,-16.0,0.2959100000020714,,
57,-13.0,0.2715800000020471,,
58,-19.0,0.2537000000020292,,
59,-15.0,0.22907000000200456,,
60,-18.0,0.2062000000019817,,
61,-18.0,0.18586000000196135,,
62,-12.0,0.15846000000193394,,
63,-14.0,0.13609000000191157,,
64,-12.0,0.11091000000190594,,
65,-12.0,0.0854800000019158,,
66,-13.0,0.06021000000192401,,
67,-8.0,0.05,,
68,-8.0,0.05,,
69,-14.0,0.05,,
70,-13.0,0.05,,
71,-11.0,0.05,,
72,-11.0,0.05,,
73,-16.0,0.05,,
74,-12.0,0.05,,
75,-13.0,0.05,,
76,-13.0,0.05,,
77,-4.0,0.05,,
78,-11.0,0.05,,
79,5.0,0.05,,
80,-7.0,0.05,,
81,-6.0,0.05,,
82,-5.0,0.05,,
83,-1.0,0.05,,
84,-9.0,0.05,,
85,-3.0,0.05,,
86,-6.0,0.05,,
87,-5.0,0.05,,
88,-12.0,0.05,,
89,-7.0,0.05,,
90,-7.0,0.05,,
91,-6.0,0.05,,
92,2.0,0.05,,
93,1.0,0.05,,
94,3.0,0.05,,
95,5.0,0.05,,
96,5.0,0.05,,
97,6.0,0.05,,
98,4.0,0.05,,
99,7.0,0.05,,
100,8.0,0.05,,
101,6.0,0.05,,
102,8.0,0.05,,
103,5.0,0.05,,
104,11.0,0.05,,
105,15.0,0.05,,
106,17.0,0.05,,
107,13.0,0.05,,
108,20.0,0.05,,
109,16.0,0.05,,
110,15.0,0.05,,
111,18.0,0.05,,
112,21.0,0.05,,
113,6.0,0.05,,
114,19.0,0.05,,
115,18.0,0.05,,
116,16.0,0.05,,
117,15.0,0.05,,
118,16.0,0.05,,
119,10.0,0.05,,
120,20.0,0.05,,
121,14.0,0.05,,
122,3.0,0.05,,
123,18.0,0.05,,
124,17.0,0.05,,
125,18.0,0.05,,
126,16.0,0.05,,
127,14.0,0.05,,
128,15.0,0.05,,
129,18.0,0.05,,
130,15.0,0.05,,
131,19.0,0.05,,
132,12.0,0.05,,
133,14.0,0.05,,
134,19.0,0.05,,
135,17.0,0.05,,
136,17.0,0.05,,
137,19.0,0.05,,
138,21.0,0.05,,
139,18.0,0.05,,
140,18.0,0.05,,
141,14.0,0.05,,
142,14.0,0.05,,
143,15.0,0.05,,
144,10.0,0.05,,
145,14.0,0.05,,
146,7.0,0.05,,
147,17.0,0.05,,
148,15.0,0.05,,
149,16.0,0.05,,
150,15.0,0.05,,
151,19.0,0.05,,
152,14.0,0.05,,
153,15.0,0.05,,
154,15.0,0.05,,
155,19.0,0.05,,
156,-1.0,0.05,,
157,14.0,0.05,,
158,15.0,0.05,,
159,15.0,0.05,,
160,18.0,0.05,,
161,15.0,0.05,,
162,18.0,0.05,,
163,14.0,0.05,,
164,19.0,0.05,,
165,18.0,0.05,,
166,16.0,0.05,,
167,17.0,0.05,,
168,17.0,0.05,,
169,17.0,0.05,,
170,15.0,0.05,,
171,15.0,0.05,,
172,18.0,0.05,,
173,20.0,0.05,,
174,17.0,0.05,,
175,13.0,0.05,,
176,18.0,0.05,,
177,16.0,0.05,,
178,18.0,0.05,,
179,13.0,0.05,,
180,17.0,0.05,,
181,18.0,0.05,,
182,14.0,0.05,,
183,16.0,0.05,,
184,18.0,0.05,,
185,18.0,0.05,,
186,12.0,0.05,,
187,18.0,0.05,,
188,14.0,0.05,,
189,18.0,0.05,,
190,19.0,0.05,,
191,20.0,0.05,,
192,13.0,0.05,,
193,19.0,0.05,,
194,14.0,0.05,,
195,19.0,0.05,,
196,16.0,0.05,,
197,17.0,0.05,,
198,12.0,0.05,,
199,19.0,0.05,,
200,20.0,0.05,,
201,16.0,0.05,,
202,18.0,0.05,,
203,20.0,0.05,,
204,20.0,0.05,,
205,19.0,0.05,,
206,16.0,0.05,,
207,20.0,0.05,,
208,19.0,0.05,,
209,15.0,0.05,,
210,16.0,0.05,,
211,14.0,0.05,,
212,18.0,0.05,,
213,16.0,0.05,,
214,19.0,0.05,,
215,17.0,0.05,,
216,20.0,0.05,,
217,18.0,0.05,,
218,15.0,0.05,,
219,17.0,0.05,,
220,9.0,0.05,,
221,21.0,0.05,,
222,13.0,0.05,,
223,14.0,0.05,,
224,14.0,0.05,,
225,17.0,0.05,,
226,21.0,0.05,,
227,20.0,0.05,,
228,17.0,0.05,,
229,17.0,0.05,,
230,17.0,0.05,,
231,19.0,0.05,,
232,16.0,0.05,,
233,17.0,0.05,,
234,18.0,0.05,,
235,18.0,0.05,,
236,20.0,0.05,,
237,14.0,0.05,,
238,20.0,0.05,,
239,19.0,0.05,,
240,14.0,0.05,,
241,10.0,0.05,,
242,16.0,0.05,,
243,14.0,0.05,,
244,19.0,0.05,,
245,16.0,0.05,,
246,14.0,0.05,,
247,17.0,0.05,,
248,18.0,0.05,,
249,20.0,0.05,,
250,10.0,0.05,,
251,16.0,0.05,,
252,16.0,0.05,,
253,18.0,0.05,,
254,20.0,0.05,,
255,21.0,0.05,,
256,17.0,0.05,,
257,13.0,0.05,,
258,20.0,0.05,,
259,16.0,0.05,,
260,20.0,0.05,,
261,18.0,0.05,,
262,17.0,0.05,,
263,21.0,0.05,,
264,15.0,0.05,,
265,15.0,0.05,,
266,15.0,0.05,,
267,21.0,0.05,,
268,16.0,0.05,,
269,18.0,0.05,,
270,18.0,0.05,,
271,17.0,0.05,,
272,20.0,0.05,,
273,18.0,0.05,,
274,20.0,0.05,,
275,20.0,0.05,,
276,14.0,0.05,,
277,15.0,0.05,,
278,16.0,0.05,,
279,19.0,0.05,,
280,19.0,0.05,,
281,18.0,0.05,,
282,16.0,0.05,,
283,15.0,0.05,,
284,15.0,0.05,,
285,15.0,0.05,,
286,13.0,0.05,,
287,19.0,0.05,,
288,18.0,0.05,,
289,20.0,0.05,,
290,16.0,0.05,,
291,17.0,0.05,,
292,17.0,0.05,,
293,19.0,0.05,,
294,16.0,0.05,,
295,20.0,0.05,,
296,19.0,0.05,,
297,19.0,0.05,,
298,14.0,0.05,,
299,16.0,0.05,,
