episode,score,epsilon,budget,uncertainty
0,-17.0,0.9882500000000535,50000,1.1286409654486282e-06
1,-20.0,0.9784900000000979,50000,4.1481755792804343e-07
2,-20.0,0.9688900000001416,50000,1.4101197585529117e-06
3,-21.0,0.9607700000001785,50000,5.812306486286053e-05
4,-20.0,0.9519000000002189,50000,0.0009840733217270088
5,-21.0,0.9442600000002537,50000,0.003152144721438572
6,-21.0,0.9366200000002884,50000,0.00613847164644711
7,-20.0,0.926380000000335,50000,0.01146121615715856
8,-18.0,0.9158000000003832,49998,0.01674251524043368
9,-21.0,0.9063500000004262,49993,0.022536547254726647
10,-19.0,0.8971500000004681,49973,0.02818487878590215
11,-19.0,0.8864200000005169,49922,0.03593648889384997
12,-21.0,0.8783100000005538,49877,0.037595713081908594
13,-19.0,0.8665500000006073,49796,0.04255108634123997
14,-21.0,0.8582900000006449,49748,0.04380595948198725
15,-20.0,0.8485600000006892,49690,0.04261280472805764
16,-18.0,0.837610000000739,49631,0.042924541156084094
17,-20.0,0.8285600000007802,49594,0.045616834370923634
18,-21.0,0.8197000000008206,49562,0.04173796793706631
19,-19.0,0.8095600000008667,49533,0.04360325246887682
20,-18.0,0.7972700000009226,49466,0.04836118448780663
21,-19.0,0.7876700000009663,49412,0.04654825963759019
22,-21.0,0.7800300000010011,49381,0.0445498432744665
23,-20.0,0.770160000001046,49343,0.042543883714848504
24,-20.0,0.7596400000010939,49308,0.04279919155805191
25,-20.0,0.7491400000011417,49243,0.046694247219489796
26,-17.0,0.7368500000011976,49173,0.048068359921128616
27,-17.0,0.7214900000012675,49096,0.045350865067045255
28,-18.0,0.7096700000013213,49048,0.0409583711842833
29,-18.0,0.697420000001377,48985,0.04405556809689318
30,-20.0,0.6855300000014312,48940,0.04197909153519704
31,-20.0,0.6742900000014823,48883,0.04627983745132006
32,-21.0,0.6639900000015292,48806,0.05076594866599743
33,-19.0,0.6521100000015833,48726,0.04740073771673797
34,-21.0,0.6437100000016215,48701,0.03884715887016639
35,-17.0,0.6308900000016798,48592,0.05052122867912455
36,-15.0,0.6127600000017623,48423,0.05270826803922028
37,-20.0,0.6011400000018152,48355,0.048828178103420106
38,-17.0,0.5867000000018809,48231,0.050678550120613376
39,-17.0,0.5717300000019491,48123,0.0482731890077992
40,-19.0,0.5594100000020051,48037,0.04694358869731674
41,-18.0,0.5459500000020664,47932,0.047934743296822055
42,-18.0,0.5305000000021367,47782,0.05259059213936739
43,-13.0,0.5131200000022158,47595,0.054788522954622415
44,-14.0,0.4947100000022702,47454,0.0472137265781961
45,-15.0,0.4772000000022527,47317,0.04723901363719427
46,-15.0,0.45935000000223486,47156,0.04928095931466408
47,-16.0,0.4423700000022179,47034,0.04489007675460813
48,-13.0,0.42265000000219816,46893,0.045033042838678435
49,-12.0,0.4001700000021757,46753,0.04358263285526114
50,-15.0,0.37974000000215524,46618,0.04453841813842707
51,-14.0,0.35817000000213367,46499,0.04294701707402592
52,-12.0,0.33777000000211327,46391,0.042874479804909334
53,-18.0,0.3188200000020943,46288,0.04284936911070174
54,-15.0,0.2979900000020735,46166,0.042831262650055005
55,-14.0,0.27824000000205373,46048,0.043987814445237194
56,-13.0,0.2576100000020331,45927,0.04263130977494309
57,-12.0,0.23586000000201135,45785,0.044080469791252894
58,-16.0,0.2189200000019944,45661,0.04600189589168777
59,-9.0,0.19168000000196717,45487,0.044209699219615144
60,-13.0,0.16808000000194356,45368,0.04145693815603332
61,-6.0,0.1406100000019161,45185,0.04523320938324916
62,-12.0,0.11780000000190327,45023,0.0467173059699393
63,-7.0,0.092720000001913,44746,0.05473651017381348
