episode,score,epsilon,budget,uncertainty
0,-20.0,0.9910200000000409,50000,4.795366883038391e-07
1,-20.0,0.9808700000000871,50000,3.102263827684422e-07
2,-20.0,0.9718400000001282,50000,0.0009763372204174431
3,-18.0,0.9603800000001803,50000,0.007343592364297339
4,-19.0,0.9499400000002278,50000,0.008400966060727877
5,-21.0,0.9420200000002639,50000,0.010563963534565632
6,-21.0,0.9327100000003062,50000,0.017062410021377837
7,-21.0,0.924190000000345,50000,0.020696465098577827
8,-19.0,0.9142200000003904,49998,0.02203092891976299
9,-21.0,0.9061500000004271,49998,0.02576223402018653
10,-21.0,0.8971500000004681,49996,0.026641921337254137
11,-21.0,0.8889500000005054,49994,0.02684742744114795
12,-20.0,0.8793500000005491,49994,0.023617049627015756
13,-20.0,0.8689600000005964,49988,0.0341353300248279
14,-20.0,0.85938000000064,49984,0.034330121588933095
15,-21.0,0.8517400000006747,49975,0.03270828021194722
16,-20.0,0.8421500000007184,49971,0.03398433205511613
17,-18.0,0.8312000000007682,49968,0.030271506536917837
18,-21.0,0.8223600000008084,49966,0.027835288294169598
19,-20.0,0.8110700000008598,49963,0.030087288566002998
20,-21.0,0.8022300000009001,49962,0.028601491954430465
21,-20.0,0.7926400000009437,49958,0.029275767544742842
22,-20.0,0.7839300000009833,49955,0.02714342107364414
23,-21.0,0.7746200000010257,49951,0.03092849312803311
24,-19.0,0.7625300000010807,49946,0.03029984879052086
25,-18.0,0.750610000001135,49943,0.028120764755626717
26,-21.0,0.7421300000011736,49942,0.026787566934423388
27,-18.0,0.7302500000012276,49937,0.03131082677213798
28,-21.0,0.7205300000012719,49930,0.031836998068062596
29,-20.0,0.7109400000013155,49922,0.0325833524708909
30,-16.0,0.6984000000013726,49905,0.03544507389367362
31,-19.0,0.6864000000014272,49884,0.03812006428071375
32,-19.0,0.6740800000014833,49875,0.03279138275277771
33,-19.0,0.6604300000015454,49865,0.033323506321143975
34,-20.0,0.6495800000015948,49860,0.031945682177105535
35,-15.0,0.6338900000016662,49846,0.03570357797185993
36,-19.0,0.622730000001717,49841,0.031195476678835134
37,-20.0,0.6113400000017688,49833,0.03250653327422673
38,-20.0,0.5994700000018228,49824,0.03286317369158018
39,-20.0,0.5881900000018742,49809,0.033238984216937585
40,-18.0,0.5756500000019312,49792,0.034080810886488386
41,-20.0,0.5655200000019773,49782,0.031736276660671664
42,-18.0,0.5501000000020475,49771,0.03147944341242753
43,-16.0,0.5350200000021161,49739,0.0370362743328323
44,-17.0,0.5191400000021884,49699,0.03792759270881718
45,-19.0,0.5067400000022448,49680,0.03495731784571563
46,-17.0,0.4916600000022672,49649,0.036475773309850766
47,-18.0,0.4778000000022533,49632,0.03482596198158019
48,-17.0,0.46495000000224046,49611,0.03440738925556308
49,-18.0,0.45062000000222613,49579,0.03545164381477537
50,-15.0,0.4322200000022077,49537,0.03548644739924424
51,-16.0,0.41694000000219245,49516,0.03320590542400492
52,-20.0,0.40384000000217934,49497,0.03364760360710735
53,-16.0,0.3878200000021633,49460,0.035461404364827566
54,-15.0,0.36765000000214315,49406,0.03620164105307355
55,-20.0,0.3539800000021295,49374,0.03468960884177748
56,-20.0,0.33584000000211134,49331,0.034386199987259856
57,-17.0,0.3187000000020942,49299,0.03403989865258227
58,-18.0,0.302500000002078,49248,0.036139089901813734
59,-18.0,0.2850100000020605,49220,0.0342991762279904
60,-18.0,0.26897000000204446,49178,0.03565943589813757
61,-12.0,0.24919000000202468,49094,0.039519799067153846
62,-12.0,0.22428000000199977,49001,0.037678553268961336
63,-16.0,0.2073000000019828,48945,0.036452872372927304
64,-16.0,0.18808000000196357,48898,0.033367020690607235
65,-14.0,0.1712100000019467,48843,0.03524194673708765
66,-16.0,0.15000000000192548,48792,0.033170457534515724
67,-15.0,0.13040000000190588,48742,0.03294496470515863
68,-8.0,0.09893000000191059,48657,0.0326000919056468
69,-12.0,0.07378000000192034,48565,0.03483899065319293
70,-12.0,0.05,48512,0.03128914096508516
71,-11.0,0.05,48447,0.030574472883778958
72,-15.0,0.05,48382,0.03131603691987657
73,-14.0,0.05,48322,0.029073179920409427
74,-18.0,0.05,48267,0.031147063248606922
75,-7.0,0.05,48158,0.031127996266018438
76,-10.0,0.05,48088,0.03089541087517785
77,-15.0,0.05,48024,0.031037309513305942
78,-13.0,0.05,47953,0.031703874235469456
79,-15.0,0.05,47914,0.03006276860729007
80,-14.0,0.05,47855,0.03229316493706923
81,-13.0,0.05,47761,0.033533360204944865
82,-10.0,0.05,47660,0.03097638123747538
83,-9.0,0.05,47557,0.03335606872327132
84,-12.0,0.05,47469,0.03342782844265457
85,-12.0,0.05,47327,0.03663698386430661
86,-10.0,0.05,47217,0.032209761622117195
87,-14.0,0.05,47130,0.02978709933307508
88,1.0,0.05,46997,0.029118468946213637
89,-10.0,0.05,46881,0.03144805308192135
90,-7.0,0.05,46759,0.029017722119603972
91,-9.0,0.05,46635,0.030687604496471264
92,-11.0,0.05,46529,0.02886084324094437
93,-9.0,0.05,46487,0.022538080362018324
94,-9.0,0.05,46438,0.023791129583648322
95,-4.0,0.05,46328,0.02817251715509201
96,-8.0,0.05,46172,0.031017285596783115
97,-12.0,0.05,46056,0.029118819060122193
98,-11.0,0.05,45974,0.025050422870905607
99,-6.0,0.05,45833,0.029575672114271517
100,-6.0,0.05,45677,0.029118088567323886
101,-4.0,0.05,45556,0.027284033772995025
102,-2.0,0.05,45426,0.02831524261238786
103,-8.0,0.05,45255,0.034236490249288765
104,-7.0,0.05,45049,0.035448157121764946
105,-2.0,0.05,44758,0.04050061871578225
106,-5.0,0.05,44536,0.03635188800185703
107,-2.0,0.05,44176,0.043079887740588074
108,5.0,0.05,44082,0.026323418028847186
109,-1.0,0.05,43943,0.027939886311402172
110,1.0,0.05,43447,0.05996621562418171
111,-4.0,0.05,43250,0.03779786563557473
112,1.0,0.05,42946,0.048668136934365155
113,1.0,0.05,42613,0.05103983114709449
114,1.0,0.05,42165,0.06743464250356848
115,1.0,0.05,41743,0.06674894545518929
116,-4.0,0.05,41616,0.031493246876131954
117,1.0,0.05,40890,0.09989069926611092
118,1.0,0.05,40690,0.03895198678480944
119,1.0,0.05,40293,0.07214260380721786
120,1.0,0.05,39598,0.11287233262941287
121,1.0,0.05,39266,0.06640690459939295
122,1.0,0.05,38908,0.0685560586489525
123,1.0,0.05,38342,0.10521806032311377
124,1.0,0.05,38043,0.05850761003399091
125,1.0,0.05,36996,0.21791512241801642
126,1.0,0.05,36857,0.030559942855671225
127,1.0,0.05,36034,0.17342883565251055
128,-3.0,0.05,35776,0.04442099762113335
129,1.0,0.05,35076,0.1435189693431139
130,1.0,0.05,34258,0.18172484891746113
131,-8.0,0.05,34125,0.04035846281681609
132,2.0,0.05,33804,0.04369661132884316
133,2.0,0.05,33626,0.03408618334860673
134,1.0,0.05,33188,0.056987479197489734
135,8.0,0.05,33137,0.024404162568234782
136,2.0,0.05,32830,0.04159844724641783
137,2.0,0.05,32420,0.05007152681338902
138,3.0,0.05,32275,0.033754493377339635
139,2.0,0.05,31584,0.07294827901667002
140,5.0,0.05,31437,0.03168980784823188
141,3.0,0.05,31276,0.03214088929012707
142,2.0,0.05,30539,0.08471514207099827
143,-3.0,0.05,30293,0.05400877293142947
144,8.0,0.05,30207,0.027416321917508656
145,2.0,0.05,29898,0.05098647025004294
146,3.0,0.05,29706,0.034261215448259524
147,1.0,0.05,29115,0.16583561414859554
148,-6.0,0.05,28933,0.05432607348713982
149,2.0,0.05,28356,0.08248912004798944
150,2.0,0.05,27358,0.14929639512691248
151,2.0,0.05,26620,0.09400990499947655
152,-1.0,0.05,26284,0.06689586475031954
153,2.0,0.05,25904,0.047664016160586305
154,7.0,0.05,25776,0.02818356537821588
155,6.0,0.05,25640,0.03087593930102515
156,4.0,0.05,25465,0.03385537883463714
157,2.0,0.05,24661,0.11254756590858134
158,2.0,0.05,23814,0.11681353186808113
159,3.0,0.05,23404,0.04956997844408374
160,8.0,0.05,23273,0.03251391425813999
161,-1.0,0.05,22903,0.11848419331455881
162,-1.0,0.05,22530,0.12706214082509212
163,4.0,0.05,22278,0.04117736863617213
164,3.0,0.05,21445,0.09362533067927786
165,2.0,0.05,21031,0.0682622713202388
166,6.0,0.05,20648,0.05503993955270245
167,10.0,0.05,20454,0.03369551255534734
168,8.0,0.05,20272,0.03581788459658339
169,6.0,0.05,19972,0.040311656963055074
170,8.0,0.05,19707,0.04210753536727381
171,5.0,0.05,19430,0.04309632197538115
172,3.0,0.05,18745,0.0687773412156476
173,8.0,0.05,18443,0.044567198237181686
174,3.0,0.05,18062,0.05413161403612527
175,11.0,0.05,17885,0.03367471405646824
176,4.0,0.05,17517,0.04827086549969276
177,10.0,0.05,17349,0.03443580419307543
178,10.0,0.05,17154,0.03661085849031632
179,3.0,0.05,16508,0.1007900091017931
180,7.0,0.05,16193,0.04662931750813149
181,6.0,0.05,15839,0.05021887565740417
182,3.0,0.05,15356,0.061775743141374344
183,7.0,0.05,15109,0.039800827093251306
184,9.0,0.05,14776,0.048827149889607464
185,-8.0,0.05,14470,0.09659561767626856
186,8.0,0.05,14218,0.04064627481902105
187,5.0,0.05,13955,0.04259738478279367
188,8.0,0.05,13730,0.0383830123109219
189,7.0,0.05,13499,0.035330439654472086
190,13.0,0.05,13408,0.027478605265867505
191,7.0,0.05,13184,0.03831978529956691
192,2.0,0.05,12729,0.11711896770443148
193,7.0,0.05,12494,0.03646175531933809
194,4.0,0.05,12030,0.059258961684426806
