episode,score,epsilon,budget,uncertainty
0,-20.0,0.9905000000000432,50000,1.0954407078568317e-06
1,-19.0,0.9792600000000944,50000,4.87272965167456e-07
2,-21.0,0.9704200000001346,50000,0.00026665534033666984
3,-21.0,0.9627800000001694,50000,0.0019841211735697876
4,-20.0,0.9543500000002078,50000,0.0034505094559641567
5,-20.0,0.9451600000002496,50000,0.009619925936260407
6,-21.0,0.9367600000002878,50000,0.01347716900421628
7,-21.0,0.9282600000003265,50000,0.016320472473744303
8,-20.0,0.9178900000003737,49996,0.022233303278759158
9,-20.0,0.9082200000004177,49996,0.02460333141941296
10,-21.0,0.8999800000004552,49992,0.02811506757110321
11,-21.0,0.8917600000004926,49990,0.028277106989297446
12,-21.0,0.8839300000005282,49983,0.033590461474773146
13,-21.0,0.876290000000563,49973,0.03338142224320537
14,-20.0,0.8666700000006068,49949,0.03914530710351078
15,-21.0,0.8584300000006443,49939,0.031685144570288794
16,-18.0,0.8458100000007017,49923,0.03807770890233929
17,-21.0,0.8370100000007418,49917,0.03536276511996138
18,-20.0,0.8283000000007814,49911,0.03379006549447612
19,-21.0,0.8188600000008244,49908,0.033251852213683285
20,-19.0,0.8087700000008703,49904,0.031018155790903265
21,-18.0,0.7966700000009254,49889,0.036742046272020386
22,-21.0,0.7881300000009642,49884,0.030971852381058273
23,-21.0,0.7799300000010015,49877,0.0312681544897226
24,-21.0,0.7722900000010363,49875,0.027941287762768253
25,-21.0,0.7631100000010781,49872,0.03427830228606373
26,-21.0,0.7525100000011263,49858,0.03762706201809089
27,-20.0,0.7427500000011708,49854,0.03499938651907914
28,-19.0,0.731700000001221,49836,0.038798180465877255
29,-20.0,0.7223300000012637,49831,0.037325344091179914
30,-18.0,0.7119200000013111,49815,0.03896094593228405
31,-21.0,0.7013200000013593,49797,0.037500166268536014
32,-20.0,0.6912300000014052,49779,0.03666392108979307
33,-17.0,0.67919000000146,49764,0.03666889105536325
34,-15.0,0.6656400000015217,49753,0.03771830208254188
35,-21.0,0.6551600000015694,49742,0.03624543162282265
36,-20.0,0.6426600000016263,49731,0.036496770873945206
37,-16.0,0.6273100000016961,49711,0.036909356621072816
38,-19.0,0.6155900000017495,49706,0.032880946074722896
39,-17.0,0.6013200000018144,49700,0.032603669763064974
40,-18.0,0.5872900000018783,49693,0.03190145703058833
