episode,score,epsilon,budget,uncertainty
0,-21.0,0.9924800000000342,50000,1.78861908915763e-06
1,-20.0,0.9832200000000764,50000,0.0003465044278955645
2,-21.0,0.9748300000001145,50000,0.0028726936401007727
3,-21.0,0.9669100000001506,50000,0.004684471786892361
4,-21.0,0.9586700000001881,50000,0.008830677797041327
5,-21.0,0.9498700000002281,50000,0.013250522792408116
6,-21.0,0.9399400000002733,49999,0.019204066021035894
7,-19.0,0.9298900000003191,49978,0.03255790661561734
8,-19.0,0.9202100000003631,49869,0.05253497511870035
9,-18.0,0.9095800000004115,49742,0.05590528217126788
10,-21.0,0.900460000000453,49611,0.059015588650557525
11,-20.0,0.8898300000005014,49438,0.06305470258945482
12,-20.0,0.8802900000005448,49326,0.05773155799914596
13,-18.0,0.8685100000005984,49166,0.06164251141893877
14,-20.0,0.8598500000006378,49096,0.05594273668597721
15,-20.0,0.8498300000006834,49026,0.05140405363113268
16,-19.0,0.838270000000736,48970,0.048527835619556925
17,-18.0,0.8264900000007896,48915,0.04976018296881991
18,-20.0,0.8152200000008409,48876,0.044360408346237286
19,-20.0,0.8059200000008833,48854,0.040859395244299004
20,-21.0,0.7973000000009225,48839,0.04128371410583969
21,-21.0,0.78906000000096,48818,0.04275893947749299
22,-17.0,0.7768500000010156,48757,0.04895301703207292
23,-20.0,0.7660400000010648,48729,0.04403392303559264
24,-19.0,0.7555800000011124,48709,0.04120979312251733
25,-20.0,0.7459500000011562,48696,0.03963055883254759
26,-19.0,0.7358700000012021,48682,0.036918431928377626
27,-17.0,0.7231700000012599,48659,0.04027159012905432
28,-20.0,0.7123300000013092,48654,0.03703835134620424
29,-20.0,0.7014800000013586,48642,0.035988270908525466
30,-19.0,0.6916800000014032,48635,0.033651331279959
31,-20.0,0.6794900000014586,48619,0.03871112243273128
32,-19.0,0.6676800000015124,48589,0.040013092382322875
33,-18.0,0.6526900000015806,48542,0.042303018275184866
34,-15.0,0.639410000001641,48478,0.045896980967772394
35,-21.0,0.6294100000016866,48450,0.04143780582444742
36,-19.0,0.616130000001747,48410,0.04385975118851323
