episode,score,epsilon,budget,uncertainty
0,-20.0,0.9937700000000185,5000,1.261985924921828e-06
1,-19.0,0.9867700000000392,5000,1.183546313378514e-05
2,-21.0,0.9808060000000569,5000,0.0011232031719108746
3,-20.0,0.9733370000000791,5000,0.007489125000278229
4,-21.0,0.9679890000000949,4999,0.01283778540493862
5,-21.0,0.9615910000001139,4979,0.019658813759464468
6,-19.0,0.9545910000001346,4906,0.027320164748933166
7,-18.0,0.9469680000001572,4709,0.033907992037952195
8,-18.0,0.938267000000183,4478,0.035445416079832606
9,-16.0,0.9276200000002146,3967,0.04496807158072917
10,-7.0,0.9120100000002609,2819,0.055948975655530066
11,-5.0,0.8923610000003191,1237,0.06008017304448639
12,-11.0,0.878249000000361,0,0.06298633600563912
13,-21.0,0.8711020000003822,0,0.057493328815326095
14,-21.0,0.8655580000003986,0,0.05339485740276157
15,-21.0,0.859034000000418,0,0.057617870802229645
16,-20.0,0.8519780000004389,0,0.058067075193523325
17,-20.0,0.8455660000004579,0,0.05834471123642797
18,-20.0,0.8393010000004765,0,0.061964586267622405
19,-21.0,0.8331970000004946,0,0.06314825735064522
20,-19.0,0.826659000000514,0,0.05671691183799507
21,-21.0,0.8207160000005316,0,0.054782709003414067
22,-21.0,0.8139400000005517,0,0.06407743585964641
23,-21.0,0.8075560000005706,0,0.06010065062404018
24,-20.0,0.8001780000005925,0,0.060422025166873415
25,-20.0,0.7937450000006115,0,0.05316266852363354
26,-20.0,0.7868010000006321,0,0.060633677141712757
27,-19.0,0.7794510000006539,0,0.06001748257871008
28,-21.0,0.7739070000006704,0,0.06456098966141739
29,-21.0,0.7673340000006899,0,0.07001142854307886
30,-20.0,0.7602710000007108,0,0.06613357549849842
31,-19.0,0.7523260000007344,0,0.077362832662112
32,-18.0,0.7441290000007587,0,0.07489101861561406
33,-20.0,0.737276000000779,0,0.06765789872100073
34,-21.0,0.7297720000008012,0,0.0658505846070362
35,-20.0,0.7226250000008224,0,0.07351015357154236
36,-21.0,0.7168570000008395,0,0.06059625779942031
37,-16.0,0.7052650000008739,0,0.08322690987066987
38,-20.0,0.6982160000008948,0,0.07155895855253731
39,-21.0,0.6911950000009156,0,0.07681964925403965
40,-21.0,0.6848110000009345,0,0.06788542817587752
41,-20.0,0.6765860000009589,0,0.07425911168429129
42,-20.0,0.6689980000009814,0,0.07233139430913761
43,-21.0,0.663062000000999,0,0.05829393415149512
44,-21.0,0.6567620000010177,0,0.062049515980567474
45,-18.0,0.6474730000010452,0,0.07331741686623344
46,-20.0,0.6407670000010651,0,0.06549827384155843
47,-20.0,0.6317720000010918,0,0.0851776737212439
48,-19.0,0.623617000001116,0,0.0742776052266871
49,-17.0,0.6134530000011461,0,0.07905791027435505
