episode,score,epsilon,budget,uncertainty
0,-19.0,0.9900400000000453,10000,1.3424012266850368e-05
1,-21.0,0.9824000000000801,10000,4.9845573861447095e-06
2,-20.0,0.9717200000001287,10000,2.4010170610496005e-06
3,-21.0,0.9631800000001676,10000,1.9108373978614067e-06
4,-21.0,0.9546400000002064,10000,2.296228884657771e-06
5,-21.0,0.9468100000002421,10000,9.430388911543169e-06
6,-21.0,0.9377800000002832,10000,8.899814092424099e-06
7,-21.0,0.9287800000003241,10000,8.321986885120068e-06
8,-21.0,0.9205400000003616,10000,1.3071434828000889e-05
9,-20.0,0.9121100000004,10000,1.8848545448245818e-05
10,-21.0,0.90331000000044,10000,1.7802902526656536e-05
11,-21.0,0.8956700000004748,10000,1.8748474262947783e-05
12,-21.0,0.886830000000515,10000,2.462093605745436e-05
13,-20.0,0.8775100000005575,10000,2.992708149003282e-05
14,-20.0,0.8653900000006126,10000,3.303813868814338e-05
15,-20.0,0.8564000000006535,10000,2.9387621648022997e-05
16,-21.0,0.8475400000006938,10000,2.812456975137407e-05
17,-21.0,0.8397100000007295,10000,3.107805879333062e-05
18,-20.0,0.8296400000007753,10000,4.048814433699662e-05
19,-21.0,0.8205200000008168,10000,4.488493730529323e-05
20,-21.0,0.8128800000008516,10000,7.14594848658354e-05
21,-21.0,0.8046400000008891,10000,0.00017778105914048953
22,-20.0,0.7959400000009287,10000,0.00021991516334582094
23,-21.0,0.7850900000009781,10000,0.0003917265818353065
24,-21.0,0.775000000001024,10000,0.0005223798413002184
25,-21.0,0.7662500000010638,10000,0.0006307978001485545
26,-21.0,0.7580100000011013,10000,0.000654607085561137
27,-19.0,0.7461600000011552,10000,0.0008650141889546243
28,-20.0,0.7346600000012076,10000,0.0010231147832857222
29,-20.0,0.7247500000012527,10000,0.0012084115785581842
30,-21.0,0.715010000001297,10000,0.0009725887965861788
31,-20.0,0.7052400000013415,10000,0.0010975933937506638
32,-20.0,0.6954300000013861,10000,0.0011406744982564022
33,-21.0,0.6866100000014262,10000,0.0011842936434738297
34,-21.0,0.6784800000014632,9992,0.0010774427928067684
35,-21.0,0.6702200000015008,9982,0.0015773993493764596
36,-21.0,0.6597100000015487,9954,0.0022123278253929415
37,-20.0,0.6507300000015895,9928,0.003980326588173117
38,-21.0,0.6421900000016284,9880,0.006297058590375993
39,-20.0,0.6325600000016722,9827,0.0049630072283898576
40,-20.0,0.623390000001714,9779,0.003457291823226031
41,-20.0,0.6137400000017579,9739,0.0030805702854638226
42,-20.0,0.6023700000018096,9681,0.003970736033445485
43,-20.0,0.5917800000018578,9618,0.004914257174026101
44,-19.0,0.5823900000019006,9553,0.004236566912827395
45,-20.0,0.5732000000019424,9480,0.005512731010304488
46,-19.0,0.5621000000019929,9393,0.004998812202111449
47,-21.0,0.5536800000020312,9304,0.0055611470207231894
48,-19.0,0.5428800000020804,9213,0.0042083433204441936
49,-16.0,0.5287900000021445,9099,0.003934785146218404
50,-21.0,0.5196400000021861,9016,0.0041684168660458204
51,-20.0,0.5108600000022261,8938,0.003998275464599039
52,-18.0,0.49985000000227536,8833,0.004497592799454484
53,-19.0,0.4883800000022639,8723,0.003852748518770651
54,-19.0,0.4775700000022531,8624,0.004296858878482349
55,-19.0,0.46624000000224175,8506,0.004106515392260551
56,-17.0,0.45533000000223084,8407,0.004154415576753214
57,-17.0,0.4431000000022186,8306,0.004132104588441735
58,-20.0,0.4329000000022084,8211,0.004151457963780558
59,-17.0,0.42006000000219557,8109,0.003584556755821357
60,-19.0,0.4098800000021854,8015,0.00390830609391111
61,-20.0,0.4009000000021764,7933,0.003715125086218783
62,-20.0,0.3915900000021671,7871,0.0030499283354815227
63,-19.0,0.3796000000021551,7786,0.0037435248158771512
64,-20.0,0.37015000000214565,7710,0.003273209845129622
65,-21.0,0.36163000000213713,7666,0.0026192002434038335
66,-20.0,0.35257000000212807,7608,0.002945880466880288
67,-20.0,0.34245000000211795,7559,0.0026562878502411663
68,-20.0,0.33407000000210957,7515,0.0028262227750644664
69,-20.0,0.3249300000021004,7461,0.0026666560077668517
70,-19.0,0.3152100000020907,7421,0.002594921758301835
71,-20.0,0.3047000000020802,7355,0.0029940822217920282
72,-21.0,0.2963100000020718,7316,0.0024181888348483857
73,-18.0,0.28637000000206186,7275,0.0021494688576596996
74,-20.0,0.2779900000020535,7243,0.002460163283186638
75,-19.0,0.26785000000204334,7202,0.0021609349391694386
76,-20.0,0.25906000000203455,7176,0.0015714164861643529
77,-18.0,0.2487000000020242,7131,0.002399993457531211
78,-21.0,0.24044000000201593,7101,0.0017089129285172942
79,-16.0,0.22865000000200414,7032,0.0026990576767943384
80,-20.0,0.2183100000019938,6973,0.0027683224048564935
81,-17.0,0.20615000000198164,6905,0.002554505558594512
82,-21.0,0.19626000000197175,6858,0.002635728216698306
83,-20.0,0.18616000000196165,6818,0.0021521919136254235
84,-19.0,0.17535000000195083,6770,0.002532983432948833
85,-20.0,0.16535000000194083,6725,0.0025699552562127794
86,-20.0,0.1546200000019301,6673,0.0025452523125590104
87,-18.0,0.14425000000191973,6639,0.0020033534281190556
88,-18.0,0.13319000000190867,6594,0.0024618111883740576
89,-21.0,0.12507000000190055,6568,0.0019989387805132534
90,-19.0,0.11511000000190431,6528,0.0026778848388504637
91,-19.0,0.10514000000190818,6501,0.0016800995750151306
92,-21.0,0.1,6478,0.0017988924615999046
93,-19.0,0.1,6421,0.0025306257454610144
94,-19.0,0.1,6383,0.0021126468885194383
95,-21.0,0.1,6340,0.002262729211099217
96,-20.0,0.1,6318,0.0014397507532503968
97,-18.0,0.1,6268,0.00267697751896332
98,-21.0,0.1,6239,0.00206237745369752
99,-21.0,0.1,6209,0.001880817080382799
100,-20.0,0.1,6177,0.001895252561837188
101,-20.0,0.1,6141,0.002451345348892092
102,-20.0,0.1,6110,0.0018316201401979899
103,-20.0,0.1,6092,0.0016332183986399972
104,-17.0,0.1,6045,0.0024056991019458917
105,-20.0,0.1,6023,0.0018251526584704566
106,-21.0,0.1,5979,0.0025485432830754705
107,-21.0,0.1,5941,0.0027375099868882763
108,-20.0,0.1,5921,0.0016910559426017338
109,-20.0,0.1,5897,0.0018688836689957436
110,-21.0,0.1,5866,0.0017632747547347055
111,-20.0,0.1,5844,0.001630024700557958
112,-19.0,0.1,5811,0.002041665825446219
113,-15.0,0.1,5745,0.002641761473882642
114,-17.0,0.1,5692,0.002661790965879014
115,-21.0,0.1,5661,0.00224632356007693
116,-20.0,0.1,5629,0.00204723438845993
117,-20.0,0.1,5599,0.002159393867461365
118,-19.0,0.1,5568,0.002201223629803319
119,-18.0,0.1,5538,0.0015609891031636448
120,-19.0,0.1,5510,0.0017478114361013965
121,-20.0,0.1,5472,0.002081512736837355
122,-21.0,0.1,5443,0.001847880062006944
123,-20.0,0.1,5414,0.001922707038143106
124,-19.0,0.1,5379,0.001957941520057888
125,-19.0,0.1,5339,0.0022728786641135136
126,-21.0,0.1,5328,0.00109845597622996
127,-18.0,0.1,5277,0.0025095750497081183
128,-18.0,0.1,5234,0.002640261823213711
129,-20.0,0.1,5196,0.002613564490874766
130,-20.0,0.1,5174,0.0020207451475800237
131,-19.0,0.1,5130,0.002629213860675403
132,-18.0,0.1,5097,0.0019746425725778918
133,-21.0,0.1,5058,0.0023142087020375113
134,-18.0,0.1,4982,0.003971909307446247
135,-20.0,0.1,4949,0.0019848088295245938
136,-19.0,0.1,4898,0.003090835236078378
137,-15.0,0.1,4820,0.0031220158361794682
138,-20.0,0.1,4754,0.003387720354524441
139,-16.0,0.1,4694,0.0028163080517291904
140,-19.0,0.1,4639,0.0029114852315604463
141,-19.0,0.1,4579,0.0030294527065648385
142,-19.0,0.1,4549,0.002231728370950432
143,-19.0,0.1,4508,0.0024046065120399635
144,-20.0,0.1,4456,0.0026385611116938146
145,-19.0,0.1,4414,0.002543075257330821
146,-21.0,0.1,4399,0.0013368011305256342
147,-19.0,0.1,4353,0.0027140873297995965
148,-18.0,0.1,4298,0.0030102181156330308
149,-17.0,0.1,4211,0.0034502958103851834
150,-18.0,0.1,4126,0.0034816488605495235
151,-20.0,0.1,4080,0.0025881659489922107
152,-14.0,0.1,3972,0.004405007107529318
153,-18.0,0.1,3909,0.003507118423978749
154,-20.0,0.1,3856,0.002985936135437812
155,-18.0,0.1,3799,0.003014577503018839
156,-18.0,0.1,3722,0.0033443495810605703
157,-18.0,0.1,3665,0.0028667878485073893
158,-16.0,0.1,3589,0.002982750250763798
159,-18.0,0.1,3519,0.0029153596562587433
160,-16.0,0.1,3439,0.0031358152634928453
161,-18.0,0.1,3359,0.0029452494275775233
162,-18.0,0.1,3297,0.002887943488721962
163,-17.0,0.1,3175,0.003400014980414471
164,-19.0,0.1,3073,0.0036858421578944934
165,-17.0,0.1,2990,0.003604614071906513
166,-18.0,0.1,2934,0.0027886998457145027
167,-18.0,0.1,2840,0.003425641579995494
168,-18.0,0.1,2782,0.0030210100593596034
169,-17.0,0.1,2722,0.00267190117768052
170,-19.0,0.1,2671,0.00239352168944118
171,-19.0,0.1,2620,0.002601397857867607
172,-18.0,0.1,2552,0.0029256923149912745
173,-20.0,0.1,2483,0.0031010971415580957
174,-20.0,0.1,2393,0.0035225527530763235
175,-15.0,0.1,2292,0.0036226678864297915
176,-13.0,0.1,2184,0.0032879316688837973
177,-16.0,0.1,2099,0.0036152915518589505
178,-19.0,0.1,2046,0.0031801975229933284
179,-18.0,0.1,1962,0.0038485269799526244
180,-15.0,0.1,1851,0.0036487811158186167
181,-18.0,0.1,1709,0.004209989145561323
182,-14.0,0.1,1560,0.004411641127444561
183,-18.0,0.1,1456,0.003983958218999043
184,-19.0,0.1,1362,0.003781614766587154
185,-19.0,0.1,1233,0.004057734587863108
186,-10.0,0.1,1045,0.004259032363061879
187,-15.0,0.1,912,0.00434667310500663
